player_name,team,strict_wins,vorp,strict_wins_rank,vorp_rank,rank_delta,z_delta,percentile_delta,ws_48,win_shares
Alex Caruso,OKC,7.349,1.0,120.0,112.0,8.0,0.18212775871377956,0.007383966244725759,0.12,2.5
Nate Williams,GSW,7.348,-0.2,121.0,379.0,-258.0,1.2378358928904423,-0.5748945147679325,0.052,0.3
Jose Alvarado,NYK,7.324,0.4,122.0,182.0,-60.0,0.6941035904511386,-0.1392405063291139,0.119,1.2
Dru Smith,MIA,7.314,1.2,123.0,98.0,25.0,-0.016614805547331857,0.04852320675105484,0.127,3.0
Aaron Gordon,DEN,7.309,0.9,124.0,122.0,2.0,0.2442337946124618,-0.007383966244725704,0.153,3.2
Scotty Pippen Jr.,MEM,7.299,0.0,125.0,282.0,-157.0,1.0300200512859186,-0.3776371308016878,0.025,0.1
Davion Mitchell,MIA,7.288,0.6,126.0,156.0,-30.0,0.4947129349512125,-0.07594936708860761,0.104,4.3
KJ Simpson,DEN,7.28,0.0,127.0,282.0,-155.0,1.01770631774843,-0.3734177215189874,0.048,0.0
Aaron Wiggins,OKC,7.278,0.4,128.0,182.0,-54.0,0.6642913934656398,-0.12658227848101267,0.072,2.1
Lauri Markkanen,UTA,7.275,1.6,129.0,68.0,61.0,-0.39400910566628344,0.12447257383966245,0.118,3.5
Norman Powell,MIA,7.264,1.5,130.0,73.0,57.0,-0.3131084238419608,0.11075949367088606,0.112,4.0
Jock Landale,ATL,7.241,0.2,131.0,219.0,-88.0,0.8163713885320576,-0.21308016877637131,0.141,1.3
Kris Murray,POR,7.236,0.2,132.0,219.0,-87.0,0.8131309323379816,-0.21097046413502113,0.079,2.2
Grayson Allen,PHX,7.231,1.5,133.0,73.0,60.0,-0.3344954347228623,0.11708860759493672,0.127,3.9
Josh Green,CHA,7.219,0.3,134.0,195.0,-61.0,0.714083695826834,-0.15295358649789031,0.099,1.9
Day'Ron Sharpe,BKN,7.209,1.0,135.0,112.0,23.0,0.09139498527965262,0.039029535864978926,0.144,3.5
Jordan Clarkson,NYK,7.208,-0.4,136.0,429.0,-293.0,1.3231624903588957,-0.6329113924050633,0.072,1.9
Pelle Larsson,MIA,7.199,0.4,137.0,182.0,-45.0,0.61309218559924,-0.10759493670886072,0.106,4.1
JD Davison,HOU,7.197,0.0,138.0,282.0,-144.0,0.9639147449267691,-0.3502109704641351,0.102,0.5
Oso Ighodaro,PHX,7.188,0.9,139.0,122.0,17.0,0.16581475471582358,0.025316455696202556,0.125,4.7
Quenton Jackson,IND,7.188,0.0,139.0,282.0,-143.0,0.9580819237774322,-0.34704641350210974,0.076,1.4
Daeqwon Plowden,SAC,7.181,-0.5,141.0,444.0,-303.0,1.3936937123621753,-0.6476793248945147,0.043,0.8
Sion James,CHA,7.174,0.0,142.0,282.0,-140.0,0.9490086464340199,-0.3417721518987342,0.08,3.1
Cason Wallace,OKC,7.161,1.7,143.0,63.0,80.0,-0.5559211923425054,0.16455696202531644,0.122,5.2
Austin Reaves,LAL,7.141,2.1,144.0,43.0,101.0,-0.9210017589239685,0.2067510548523207,0.153,5.6
Jaylon Tyson,CLE,7.128,0.9,145.0,122.0,23.0,0.12692928038691242,0.036919831223628685,0.108,4.0
Terrence Shannon Jr.,MIN,7.126,-0.2,146.0,379.0,-233.0,1.0939596378734704,-0.5221518987341772,0.09,1.0
A.J. Lawson,TOR,7.083,0.1,147.0,246.0,-99.0,0.8020026582505477,-0.24472573839662454,0.121,0.6
Tolu Smith,DET,7.083,0.1,147.0,246.0,-99.0,0.8020026582505477,-0.24472573839662454,0.185,0.5
Nic Claxton,BKN,7.081,1.4,149.0,83.0,66.0,-0.3436794350938504,0.13291139240506328,0.121,4.8
John Collins,LAC,7.074,0.7,150.0,141.0,9.0,0.26799172439347174,0.004219409282700426,0.117,4.6
Precious Achiuwa,SAC,7.056,0.2,151.0,219.0,-68.0,0.6964745093512477,-0.1708860759493671,0.081,2.9
Kyle Anderson,MIN,7.047,0.3,152.0,195.0,-43.0,0.6026120027506209,-0.11497890295358648,0.126,1.0
Cam Christie,LAC,7.035,-0.3,153.0,409.0,-256.0,1.1230130205925781,-0.5601265822784811,0.016,0.2
Jay Huff,IND,7.032,1.1,154.0,103.0,51.0,-0.11134684944192558,0.0991561181434599,0.089,3.2
Blake Wesley,POR,7.031,-0.1,155.0,327.0,-172.0,0.9443612847347372,-0.41666666666666663,0.038,0.3
Jordan Miller,LAC,7.029,0.8,156.0,134.0,22.0,0.15079793319549833,0.04008438818565396,0.125,3.5
Duop Reath,POR,7.018,0.1,157.0,246.0,-89.0,0.7598767277275602,-0.2236286919831224,0.103,0.6
Yves Missi,NOP,7.018,0.1,157.0,246.0,-89.0,0.7598767277275602,-0.2236286919831224,0.098,2.7
Drew Timme,LAL,7.0,0.0,159.0,282.0,-123.0,0.8362407708801767,-0.30590717299578063,0.092,0.4
Naji Marshall,DAL,6.997,0.8,160.0,134.0,26.0,0.13005901355341226,0.048523206751054815,0.095,4.3
Brandon Williams,DAL,6.989,0.9,161.0,122.0,39.0,0.03684459819160091,0.07067510548523209,0.083,2.5
Bilal Coulibaly,WAS,6.97,-0.1,162.0,327.0,-165.0,0.9048277191670107,-0.40189873417721517,0.031,1.0
Thomas Bryant,CLE,6.967,0.4,163.0,182.0,-19.0,0.4627350181941158,-0.05274261603375524,0.153,2.3
Ariel Hukporti,NYK,6.965,0.0,164.0,282.0,-118.0,0.813557577521645,-0.2953586497890296,0.115,1.2
Ryan Rollins,MIL,6.963,1.3,165.0,90.0,75.0,-0.33212451582275326,0.1508438818565401,0.069,3.4
Bez Mbeng,UTA,6.961,-0.4,166.0,429.0,-263.0,1.1630839543715439,-0.5696202531645569,0.047,0.5
Ja'Kobe Walter,TOR,6.952,0.6,167.0,156.0,11.0,0.2769542787093085,0.011603375527426185,0.121,3.7
Caris LeVert,DET,6.952,0.5,167.0,169.0,-2.0,0.36498396416059836,-0.015822784810126556,0.066,1.6
Jalen Suggs,ORL,6.951,1.8,169.0,56.0,113.0,-0.7800500379449852,0.23206751054852318,0.083,2.7
Santi Aldama,MEM,6.93,1.1,170.0,103.0,67.0,-0.17745215580107515,0.1329113924050633,0.092,2.3
Vince Williams Jr.,UTA,6.925,0.0,171.0,282.0,-111.0,0.7876339279690374,-0.28059071729957813,-0.013,0.0
Daniss Jenkins,DET,6.918,0.5,172.0,169.0,3.0,0.34294886204088204,-0.006329113924050611,0.095,2.9
Marvin Bagley III,DAL,6.912,0.3,173.0,195.0,-22.0,0.5151196855105704,-0.07067510548523209,0.165,1.6
Scottie Barnes,TOR,6.888,4.2,174.0,7.0,167.0,-2.933592236821298,0.3512658227848101,0.14,7.8
Jonathan Kuminga,ATL,6.873,0.2,175.0,219.0,-44.0,0.577873812648068,-0.12025316455696206,0.11,0.8
Zeke Nnaji,DEN,6.866,-0.3,176.0,409.0,-233.0,1.0134856012328106,-0.5116033755274262,0.066,0.9
Jalen Johnson,ATL,6.86,4.0,177.0,10.0,167.0,-2.7756794206055435,0.3523206751054852,0.141,7.5
Anthony Gill,WAS,6.859,-0.2,178.0,379.0,-201.0,0.9209192771098145,-0.45464135021097046,0.087,1.7
Ja Morant,MEM,6.858,0.1,179.0,246.0,-67.0,0.6561821295171297,-0.17827004219409287,0.024,0.3
Josh Okogie,HOU,6.841,0.3,180.0,195.0,-15.0,0.4691052075546921,-0.055907172995780574,0.095,2.7
De'Aaron Fox,SAS,6.834,2.4,181.0,34.0,147.0,-1.3840548255941014,0.30696202531645567,0.138,6.4
Tyler Smith,DAL,6.828,-0.1,182.0,327.0,-145.0,0.8127987632552541,-0.35970464135021096,0.043,0.1
Trendon Watford,PHI,6.827,0.0,183.0,282.0,-99.0,0.7241209865651488,-0.2552742616033756,0.078,1.4
Svi Mykhailiuk,UTA,6.825,0.1,184.0,246.0,-62.0,0.6347951186362288,-0.16772151898734183,0.048,1.1
Jared McCain,OKC,6.812,0.1,185.0,246.0,-61.0,0.6263699325316314,-0.1656118143459916,0.101,1.1
