rank,player_name,player_id,team,position,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band,projected_games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,ft_pct,three_pt_pct,fta,fantasy_points,ceiling,floor,consistency,fga,fgm,tpa,tpm,ftm,usage_rate
41,Donte DiVincenzo,1628978,MIN,PG,26014030.43,25895373.52,25127471.17,26663275.86,1301334.72,14.8035,core,73,30.5,14.2,3.9,4.0,1.2,0.4,1.7,0.433,0.797,0.384,2.1,28.0,43.7,13.4,69,11.5,5.0,6.6,2.5,1.7,0.5
42,Pascal Siakam,1627783,IND,SF,25898679.76,25895373.52,25127471.17,26663275.86,1168373.28,14.7664,core,66,32.8,20.0,6.7,3.5,1.0,0.5,1.9,0.494,0.734,0.366,4.7,35.9,57.0,16.4,75,15.3,7.6,3.8,1.4,3.5,0.5
43,Bam Adebayo,1628389,MIA,PF,25892381.9,25639406.07,25127471.17,26407308.41,1277280.95,14.7541,core,71,33.0,18.6,9.9,3.4,1.0,0.9,2.0,0.488,0.757,0.334,5.1,39.4,59.2,20.2,66,14.1,6.9,2.8,1.0,3.8,0.5
44,Michael Porter Jr.,1629008,BKN,SF,25845433.2,25639406.07,25127471.17,26663275.86,1215280.52,14.7447,core,62,32.9,19.3,6.9,2.6,0.9,0.5,1.9,0.475,0.81,0.372,3.6,33.9,52.7,17.0,65,14.8,7.0,6.2,2.3,2.9,0.5
45,Mikal Bridges,1628969,NYK,SG,25482588.68,25383438.62,24871503.72,26151340.97,1013552.41,14.5947,core,76,34.2,16.6,3.9,4.2,1.2,0.5,1.7,0.47,0.82,0.368,2.5,30.8,48.0,14.7,70,13.4,6.3,5.3,2.0,2.0,0.5
46,Royce O'Neale,1626220,PHX,SF,24590963.4,24615536.28,24103601.38,25127471.17,916377.19,14.1746,core,75,28.8,11.8,5.4,2.7,1.0,0.5,1.4,0.446,0.775,0.393,1.7,25.5,40.5,11.7,69,9.5,4.2,5.0,2.0,1.4,0.5
47,Brandon Ingram,1627742,TOR,SF,23670760.42,23591666.48,23079731.59,24359568.83,912319.08,13.7177,core,61,33.4,19.7,6.0,3.9,0.9,0.6,2.5,0.475,0.805,0.37,4.2,34.8,53.2,17.6,72,15.5,7.3,4.4,1.6,3.4,0.5
48,Julius Randle,203944,MIN,PF,23555063.14,23591666.48,22823764.14,24103601.38,882421.6,13.6686,core,69,33.0,19.0,7.0,4.2,1.0,0.4,2.5,0.476,0.794,0.337,5.1,35.3,55.3,16.9,75,14.3,6.8,4.1,1.4,4.0,0.5
49,Amen Thompson,1641708,HOU,SG,23482368.38,23591666.48,22823764.14,24103601.38,923566.27,13.6348,core,72,32.9,16.0,6.2,4.5,1.3,0.6,2.2,0.498,0.769,0.322,3.9,34.0,52.8,16.2,74,12.2,6.1,2.6,0.8,3.0,0.5
50,Brandin Podziemski,1641764,GSW,PG,23372814.31,23335699.03,22567796.69,24103601.38,921268.59,13.5778,core,73,29.8,14.2,4.8,4.1,1.1,0.3,1.7,0.45,0.793,0.37,2.8,28.5,44.2,13.6,66,11.4,5.1,4.6,1.7,2.2,0.5
